,id,sent,received,lost
0,0,31,63,-32
1,1,51,49,2
2,2,87,81,6
3,3,68,66,2
4,4,38,37,1
5,5,58,53,5
6,6,33,32,1
7,7,46,44,2
8,8,60,53,7
9,9,46,43,3
10,10,23,23,0
11,11,44,38,6
12,12,89,85,4
13,13,77,74,3
14,14,55,55,0
15,15,59,57,2
16,16,88,83,5
17,17,62,62,0
18,18,100,96,4
19,19,49,49,0
20,20,24,23,1
21,21,33,29,4
22,22,39,34,5
